osm_id,name,category,subcategory,lat,lon,admin_division
w23733605,,farm,building=greenhouse,53.4588431,-6.2647918,
w23733606,,farm,building=greenhouse,53.4587759,-6.2621046,
w23733608,,farm,building=greenhouse,53.4595651,-6.264717,
w23733610,,farm,building=greenhouse,53.4594977,-6.2620595,
w34234127,,farm,landuse=farmland,53.5691334,-6.1008141,
w38966756,,farm,landuse=farmland,53.3218531,-6.4812665,
w38966762,,farm,landuse=farmland,53.3219583,-6.4761654,
w38967000,,farm,landuse=farmland,53.3144063,-6.4926561,
w38967632,,farm,landuse=farmland,53.3135589,-6.4743174,
w44845545,Curvilinear Glasshouse Range,farm,building=greenhouse,53.3728201,-6.2705886,
w45118737,,farm,building=greenhouse,53.2874652,-6.2346362,
w48807857,,farm,landuse=farmland,53.368093,-6.4599173,
w49156827,,farm,building=greenhouse,53.4687005,-6.3170145,
w49156829,,farm,building=greenhouse,53.468751,-6.3188504,
w49156830,,farm,building=greenhouse,53.4692715,-6.3187767,
w49157283,,farm,building=greenhouse,53.4705437,-6.2569594,
w49157284,,farm,building=greenhouse,53.470494,-6.2560013,
w49157285,,farm,building=greenhouse,53.4704539,-6.2550327,
w49157287,,farm,building=greenhouse,53.4691138,-6.2551242,
w49157288,,farm,building=greenhouse,53.4718407,-6.2565312,
w49157289,,farm,building=greenhouse,53.4716485,-6.2554983,
w49157290,,farm,building=greenhouse,53.4714221,-6.254468,
w49157291,,farm,building=greenhouse,53.4711767,-6.2536097,
w50030653,,farm,building=greenhouse,53.5023358,-6.1902575,
w50030654,,farm,building=greenhouse,53.5020801,-6.1904038,
w50030655,,farm,building=greenhouse,53.5018178,-6.1905539,
w50030656,,farm,building=greenhouse,53.5015656,-6.1906983,
w50030657,,farm,building=greenhouse,53.5021687,-6.1914138,
w50030658,,farm,building=greenhouse,53.5021072,-6.1910897,
w50030659,,farm,building=greenhouse,53.5018535,-6.1919597,
w50212760,,farm,landuse=greenhouse_horticulture,53.5019297,-6.1914264,
w50213827,,farm,landuse=greenhouse_horticulture,53.4702952,-6.255147,
w50214061,,farm,landuse=greenhouse_horticulture,53.4598138,-6.2640424,
w50413827,Carroll Produce,farm,landuse=greenhouse_horticulture,53.5283557,-6.1719803,
w50640583,De Courcy Square,farm,landuse=allotments,53.3681613,-6.2723484,
w51334807,,farm,landuse=greenhouse_horticulture,53.5310853,-6.1201882,
w51963736,,farm,building=greenhouse,53.4467812,-6.1596053,
w51963738,,farm,building=greenhouse,53.4464861,-6.1596839,
w52252695,,farm,landuse=farmland,53.3669027,-6.0829686,
w52351111,,farm,building=greenhouse,53.4383295,-6.1685351,
w54107565,,farm,landuse=farmland,53.3050173,-6.3791296,
w54107566,,farm,landuse=farmland,53.3058383,-6.3768779,
w54107567,,farm,landuse=farmland,53.3128167,-6.3823945,
w54107569,,farm,landuse=farmland,53.3110912,-6.3844868,
w54107570,,farm,landuse=farmland,53.3091486,-6.3834171,
w54107573,,farm,landuse=farmland,53.3089594,-6.3861301,
w54107575,,farm,landuse=farmland,53.3096586,-6.3860911,
w54107582,,farm,landuse=farmland,53.3079047,-6.376333,
w54107585,,farm,landuse=farmland,53.3089802,-6.3781491,
w54107587,,farm,landuse=farmland,53.3093428,-6.3801871,
w54107588,,farm,landuse=farmland,53.3069704,-6.3803278,
w54107591,,farm,landuse=farmland,53.3142268,-6.380458,
w54107593,,farm,landuse=farmland,53.312837,-6.37989,
w54108561,,farm,landuse=farmland,53.3029147,-6.3841761,
w54108563,,farm,landuse=farmland,53.3038212,-6.3930308,
w54108564,,farm,landuse=farmland,53.3013583,-6.3884869,
w54108565,,farm,landuse=farmland,53.3023557,-6.3816306,
w57691537,Tymon Park Allotments,farm,landuse=allotments,53.2997771,-6.3408652,
w58557304,,farm,landuse=farmland,53.4594058,-6.1919746,
w58557306,,farm,landuse=farmland,53.4580262,-6.198268,
w58557308,,farm,landuse=farmland,53.4610627,-6.1960063,
w58557314,,farm,landuse=farmland,53.4542165,-6.1907385,
w58557315,,farm,landuse=farmland,53.4564193,-6.1933492,
w58557320,,farm,landuse=allotments,53.4538126,-6.1955725,
w58644778,,farm,landuse=farmland,53.3567622,-6.4840384,
w58644784,,farm,landuse=farmland,53.3563977,-6.4777559,
w58644785,,farm,landuse=farmland,53.3560454,-6.4800308,
w60889931,,farm,landuse=farmland,53.2120781,-6.1556489,
w60928443,,farm,landuse=farmland,53.2269,-6.1736167,
w60928839,,farm,landuse=farmland,53.2025748,-6.1374857,
w60928844,,farm,landuse=farmland,53.2031605,-6.1422032,
w60928846,,farm,landuse=farmland,53.2055883,-6.144341,
w60928849,,farm,landuse=farmland,53.2074766,-6.1482691,
w60928850,,farm,landuse=farmland,53.2060846,-6.1388195,
w60928854,,farm,landuse=farmland,53.2129607,-6.1502705,
w60928857,,farm,landuse=farmland,53.2077939,-6.143735,
w60929026,,farm,landuse=farmland,53.2459759,-6.1663763,
w60930441,,farm,landuse=farmland,53.2472223,-6.1679445,
w60930442,,farm,landuse=farmland,53.2487609,-6.1696323,
w60930443,,farm,landuse=farmland,53.2498082,-6.1688661,
w60930444,,farm,landuse=farmland,53.2481482,-6.1662418,
w60930448,,farm,landuse=farmland,53.2442834,-6.1647988,
w60930952,,farm,landuse=farmland,53.2348804,-6.1430567,
w60949247,,farm,landuse=farmland,53.221791,-6.1313004,
w60949576,,farm,landuse=farmland,53.2197555,-6.1299606,
w60949853,,farm,landuse=farmland,53.2199286,-6.1326852,
w60949854,,farm,landuse=farmland,53.218187,-6.1314161,
w60957784,,farm,landuse=farmland,53.2142135,-6.130638,
w60957786,,farm,landuse=farmland,53.2065347,-6.1364215,
w60957787,,farm,landuse=farmland,53.2119211,-6.1272184,
w60957788,,farm,landuse=farmland,53.212323,-6.1306325,
w60958811,,farm,landuse=farmland,53.2249867,-6.1704196,
w60958816,,farm,landuse=farmland,53.2147141,-6.1545697,
w60958823,,farm,landuse=farmland,53.2130185,-6.1535591,
w60961836,,farm,landuse=farmland,53.23588,-6.1519547,
w60961843,,farm,landuse=farmland,53.2344287,-6.1504681,
w60961845,,farm,landuse=farmland,53.2332209,-6.1503635,
w60968098,,farm,landuse=farmland,53.2202953,-6.1276654,
w60968099,,farm,landuse=farmland,53.2079829,-6.1412801,
w60968102,,farm,landuse=farmland,53.2094471,-6.1428762,
w61094202,,farm,landuse=farmland,53.2076839,-6.1311572,
w61109880,,farm,landuse=farmland,53.2532295,-6.2966863,
w61159136,,farm,landuse=farmland,53.2233497,-6.1764671,
w61159137,,farm,landuse=farmland,53.2242845,-6.1778361,
w61159152,,farm,landuse=farmland,53.2477899,-6.1633898,
w61163192,,farm,landuse=farmland,53.2514193,-6.2960787,
w61163200,,farm,landuse=farmland,53.2453421,-6.2699385,
w61163444,,farm,landuse=farmland,53.2624338,-6.2524708,
w61163445,,farm,landuse=farmland,53.2605451,-6.2506741,
w61163446,,farm,landuse=farmland,53.2626667,-6.2500362,
w61163983,,farm,landuse=farmland,53.2056603,-6.1501518,
w61163985,,farm,landuse=farmland,53.2039376,-6.1495073,
w61189079,Bush Field,farm,landuse=farmland,53.2591365,-6.3414952,
w61189081,,farm,landuse=farmland,53.229866,-6.3317089,
w61189082,,farm,landuse=farmland,53.2506962,-6.3656169,
w61189083,,farm,landuse=farmland,53.2506178,-6.3667261,
w61189085,,farm,landuse=farmland,53.2450769,-6.3583676,
w61189092,,farm,landuse=farmland,53.2501897,-6.3638385,
w61189093,Maurice's,farm,landuse=farmland,53.2434765,-6.3589606,
w61189095,,farm,landuse=farmland,53.2463355,-6.3639072,
w61189101,,farm,landuse=farmland,53.248495,-6.3651019,
w61189102,,farm,landuse=farmland,53.2600622,-6.3450296,
w61189104,Five Acres,farm,landuse=farmland,53.2443905,-6.3600813,
w61189107,,farm,landuse=farmland,53.2583114,-6.3614685,
w61189110,,farm,landuse=farmland,53.2643525,-6.3643985,
w61189111,,farm,landuse=farmland,53.2453256,-6.3623247,
w61189113,,farm,landuse=farmland,53.2382625,-6.3507301,
w61189115,,farm,landuse=farmland,53.2622348,-6.3654979,
w61189118,,farm,landuse=farmland,53.2472688,-6.3648413,
w61214515,Top Field,farm,landuse=farmland,53.2477836,-6.3357471,
w61214516,,farm,landuse=farmland,53.2466366,-6.3561159,
w61214517,,farm,landuse=farmland,53.2473402,-6.3528688,
w61214518,,farm,landuse=farmland,53.2668966,-6.3504795,
w61214520,,farm,landuse=farmland,53.2500312,-6.3119276,
w61214523,,farm,landuse=farmland,53.2665121,-6.3475756,
w61214525,,farm,landuse=farmland,53.246334,-6.3550645,
w61214526,,farm,landuse=farmland,53.259781,-6.3138745,
w61214528,,farm,landuse=farmland,53.2620747,-6.3458904,
w61214532,,farm,landuse=farmland,53.2482591,-6.3412256,
w61214536,,farm,landuse=farmland,53.266826,-6.3441053,
w61214541,Coughlan's Horse Field,farm,landuse=farmland,53.2575768,-6.3426716,
w61214542,,farm,landuse=farmland,53.2482385,-6.3398554,
w61214543,Park,farm,landuse=farmland,53.245874,-6.3481215,
w61214544,,farm,landuse=farmland,53.2475646,-6.3626305,
w61214545,,farm,landuse=farmland,53.2477884,-6.3140583,
w61214546,,farm,landuse=farmland,53.2628783,-6.3551223,
w61214548,,farm,landuse=farmland,53.2459565,-6.3538135,
w61214549,Welch Field,farm,landuse=farmland,53.2449463,-6.3499963,
w61214550,,farm,landuse=farmland,53.2518732,-6.3113482,
w61214552,,farm,landuse=farmland,53.2483834,-6.3382194,
w61214556,,farm,landuse=farmland,53.2447295,-6.3533918,
w61214560,,farm,landuse=farmland,53.2646728,-6.3525935,
w61214564,,farm,landuse=farmland,53.2456881,-6.3493613,
w61214567,,farm,landuse=farmland,53.2661516,-6.3492958,
w61214570,,farm,landuse=farmland,53.2657281,-6.3394909,
w61214571,,farm,landuse=farmland,53.2557425,-6.3132752,
w61214573,,farm,landuse=farmland,53.2619428,-6.3578074,
w61214574,,farm,landuse=farmland,53.2656463,-6.3504408,
w61214576,Brewer's Field,farm,landuse=farmland,53.2441551,-6.3549808,
w61214578,,farm,landuse=farmland,53.2451849,-6.3545583,
w61214582,,farm,landuse=farmland,53.2456805,-6.3531083,
w61214583,,farm,landuse=farmland,53.2678237,-6.3521849,
w61214584,,farm,landuse=farmland,53.2651875,-6.3529902,
w61214589,,farm,landuse=farmland,53.2465412,-6.350965,
w61214591,,farm,landuse=farmland,53.2577688,-6.3116543,
w61220017,,farm,landuse=farmland,53.2477315,-6.3125396,
w61220046,,farm,landuse=farmland,53.2402364,-6.3196296,
w61220056,,farm,landuse=farmland,53.2525595,-6.2934487,
w61220074,,farm,landuse=farmland,53.2405544,-6.3176108,
w61220075,,farm,landuse=farmland,53.2421988,-6.3188118,
w61220077,,farm,landuse=farmland,53.2460483,-6.3179729,
w64061979,Glasshouse,farm,building=greenhouse,53.3212441,-6.2473468,
w64194537,,farm,landuse=farmland,53.4864149,-6.1970076,
w64194540,,farm,landuse=farmland,53.4740087,-6.1859066,
w64194541,,farm,landuse=farmland,53.4747186,-6.1796071,
w64194543,,farm,landuse=farmland,53.4813355,-6.201626,
w64194545,,farm,landuse=farmland,53.4784086,-6.1662793,
w64194546,,farm,landuse=farmland,53.4800505,-6.1796628,
w64194549,,farm,landuse=farmland,53.4768067,-6.1696812,
w64194550,,farm,landuse=farmland,53.4794296,-6.1958295,
w64194552,,farm,landuse=farmland,53.4767022,-6.189164,
w64194555,,farm,landuse=farmland,53.4748766,-6.1708214,
w64194556,,farm,landuse=farmland,53.4812745,-6.1928919,
w64194557,,farm,landuse=farmland,53.4776202,-6.1860605,
w64194558,,farm,landuse=farmland,53.4762683,-6.1841915,
w64194559,,farm,landuse=farmland,53.4756057,-6.1877992,
w64194568,,farm,landuse=farmland,53.4817437,-6.1955079,
w64194570,,farm,landuse=farmland,53.4841585,-6.1836654,
w64194572,,farm,landuse=farmland,53.4743955,-6.1846005,
w64200015,,farm,landuse=farmland,53.4764665,-6.198519,
w64200016,,farm,landuse=farmland,53.4775806,-6.1943872,
w64200017,,farm,landuse=farmland,53.4757472,-6.1964894,
w64200019,,farm,landuse=farmland,53.4788181,-6.1900132,
w64200021,,farm,landuse=farmland,53.4736398,-6.1941231,
w64200022,,farm,landuse=farmland,53.4700857,-6.1852515,
w64200026,,farm,landuse=farmland,53.4735673,-6.1983453,
w64200027,,farm,landuse=farmland,53.4776582,-6.2022336,
w64200029,,farm,landuse=farmland,53.4753745,-6.1944767,
w64200031,,farm,landuse=farmland,53.4661678,-6.1972891,
w64200032,,farm,landuse=farmland,53.4753378,-6.1954263,
w64200035,,farm,landuse=farmland,53.4673112,-6.1826874,
w64200036,,farm,landuse=farmland,53.4753151,-6.176063,
w64200037,,farm,landuse=farmland,53.4697019,-6.1824711,
w64200038,,farm,landuse=farmland,53.4701254,-6.1797457,
w64200042,,farm,landuse=farmland,53.4793693,-6.1990817,
w64200045,,farm,landuse=farmland,53.470999,-6.1912348,
w64200046,,farm,landuse=farmland,53.4744966,-6.2007135,
w64200050,,farm,landuse=farmland,53.4728129,-6.1883471,
w64200051,,farm,landuse=farmland,53.4773187,-6.2007427,
w64201993,,farm,landuse=farmland,53.4696517,-6.1604388,
w64201994,,farm,landuse=farmland,53.4700362,-6.1650863,
w64201997,,farm,landuse=farmland,53.4729217,-6.1796514,
w64201998,,farm,landuse=farmland,53.4702061,-6.2052162,
w64202003,,farm,landuse=farmland,53.4782934,-6.1543025,
w64202005,,farm,landuse=farmland,53.4720907,-6.1594974,
w64202007,,farm,landuse=farmland,53.4705516,-6.1688585,
w64202015,,farm,landuse=farmland,53.4662653,-6.1928847,
w64202018,,farm,landuse=farmland,53.4733149,-6.1673208,
w64203944,,farm,landuse=farmland,53.4708726,-6.1559527,
w64203963,,farm,landuse=farmland,53.4823126,-6.2043292,
w64203965,,farm,landuse=farmland,53.4863817,-6.2046991,
w64203966,,farm,landuse=farmland,53.472906,-6.1721306,
w64203967,,farm,landuse=farmland,53.4806021,-6.2051042,
w64203969,,farm,landuse=farmland,53.4863732,-6.2011925,
w64203975,,farm,landuse=farmland,53.4879993,-6.1938584,
w64203976,,farm,landuse=farmland,53.4674904,-6.1968807,
w64203982,,farm,landuse=farmland,53.4844817,-6.2031935,
w64314303,,farm,landuse=farmland,53.4721343,-6.2136597,
w64314304,,farm,landuse=farmland,53.489202,-6.2313592,
w64314307,,farm,building=greenhouse,53.4841086,-6.2209101,
w64314309,,farm,landuse=farmland,53.4748439,-6.2204595,
w64314336,,farm,landuse=farmland,53.488344,-6.228441,
w64314361,,farm,landuse=farmland,53.4884028,-6.2306133,
w64314368,,farm,building=greenhouse,53.484565,-6.2208054,
w64320267,,farm,landuse=farmland,53.4782847,-6.2512258,
w64320268,,farm,landuse=farmland,53.4769179,-6.2527475,
w64320276,,farm,landuse=farmland,53.4748266,-6.2511939,
w64320293,,farm,landuse=farmland,53.4881399,-6.2423908,
w64320295,,farm,landuse=farmland,53.4866548,-6.2408896,
w64320296,,farm,landuse=farmland,53.4874578,-6.2463998,
w64320309,,farm,landuse=farmland,53.4866595,-6.2434034,
w64491482,,farm,landuse=farmland,53.4622693,-6.2569881,
w64491483,,farm,landuse=farmland,53.4691202,-6.2679359,
w64491487,,farm,landuse=farmland,53.4710823,-6.2706298,
w64491489,,farm,landuse=farmland,53.4677269,-6.2712756,
w64491490,,farm,landuse=farmland,53.4658494,-6.264332,
w64491492,,farm,landuse=farmland,53.4686984,-6.2637601,
w64491493,,farm,landuse=farmland,53.4677485,-6.2615326,
w64491502,,farm,landuse=farmland,53.4655417,-6.2692121,
w64491517,,farm,landuse=farmland,53.4650077,-6.2577414,
w64491518,,farm,landuse=farmland,53.4672078,-6.2665855,
w64491520,,farm,landuse=farmland,53.4674538,-6.2593793,
w64491521,,farm,landuse=farmland,53.4708165,-6.2631653,
w64491524,,farm,building=greenhouse,53.4723671,-6.2641749,
w64491527,,farm,landuse=farmland,53.4703564,-6.2588985,
w64491529,,farm,landuse=farmland,53.4704369,-6.2607563,
w64491532,,farm,landuse=farmland,53.4727089,-6.2609771,
w64491533,,farm,landuse=farmland,53.4642813,-6.2634023,
w64491541,,farm,landuse=farmland,53.4691806,-6.2590238,
w64491544,,farm,landuse=farmland,53.4645146,-6.2653872,
w64491546,,farm,landuse=greenhouse_horticulture,53.4621032,-6.2633368,
w64491548,,farm,landuse=farmland,53.462942,-6.2611821,
w64491549,,farm,landuse=farmland,53.4671479,-6.2564154,
w64491553,,farm,landuse=farmland,53.4652302,-6.2614606,
w64495190,,farm,landuse=farmland,53.4736212,-6.2642727,
w64495194,,farm,landuse=farmland,53.471634,-6.2582407,
w64501452,,farm,landuse=farmland,53.4895615,-6.2565823,
w64501455,,farm,landuse=farmland,53.477422,-6.2683793,
w64501460,,farm,landuse=farmland,53.4864173,-6.25115,
w64501475,,farm,landuse=farmland,53.4868867,-6.2537654,
w64501480,,farm,landuse=farmland,53.4876834,-6.2573441,
w64501482,,farm,landuse=farmland,53.4894484,-6.2518144,
w64501487,,farm,landuse=farmland,53.4879454,-6.2527853,
w64501496,,farm,landuse=farmland,53.4829977,-6.2569624,
w64501501,,farm,landuse=farmland,53.4824638,-6.2463964,
w64501510,,farm,landuse=farmland,53.484758,-6.2531876,
w64501513,,farm,landuse=farmland,53.4898169,-6.2540705,
w64501517,,farm,landuse=farmland,53.4877582,-6.2502126,
w64501519,,farm,landuse=farmland,53.4892912,-6.2475939,
w64501523,,farm,landuse=farmland,53.4844642,-6.2490853,
w64501526,,farm,landuse=farmland,53.4767683,-6.265599,
w64501531,,farm,landuse=farmland,53.4831025,-6.2441973,
w64501537,,farm,landuse=farmland,53.4828092,-6.2503085,
w64501539,,farm,landuse=farmland,53.4857365,-6.2457495,
w64501549,,farm,landuse=farmland,53.4840911,-6.2466496,
w64501551,,farm,landuse=farmland,53.4787657,-6.2646325,
w64501553,,farm,landuse=farmland,53.4810229,-6.2637215,
w64501558,,farm,landuse=farmland,53.4792594,-6.2674912,
w64501562,,farm,landuse=farmland,53.4747185,-6.2600994,
w64501564,,farm,landuse=farmland,53.486323,-6.2483361,
w64501567,,farm,landuse=farmland,53.4846529,-6.2513003,
w64501569,,farm,landuse=farmland,53.4883577,-6.2547108,
w64501571,,farm,landuse=farmland,53.4757268,-6.2562682,
w64501573,,farm,landuse=farmland,53.4798105,-6.2562773,
w65013341,,farm,building=greenhouse,53.5069489,-6.1679881,
w65013358,,farm,landuse=farmland,53.5052874,-6.1891166,
w65013365,,farm,landuse=farmland,53.5240316,-6.188264,
w65013371,,farm,landuse=farmland,53.5203066,-6.1896115,
w65013388,,farm,building=greenhouse,53.5063236,-6.1955494,
w65013391,,farm,building=greenhouse,53.5092918,-6.1834795,
w65013398,,farm,building=greenhouse,53.5082792,-6.1696625,
w65013399,,farm,landuse=farmland,53.5234681,-6.1853684,
w65013402,,farm,building=greenhouse,53.5162149,-6.1926199,
w65013409,,farm,building=greenhouse,53.5058933,-6.1761399,
w65013416,,farm,landuse=farmland,53.519417,-6.1789004,
w65013443,,farm,landuse=farmland,53.5125851,-6.1859075,
w65013445,,farm,landuse=farmland,53.5251586,-6.1855944,
w65013462,,farm,landuse=farmland,53.5135196,-6.1778844,
w65013466,,farm,landuse=farmland,53.5123807,-6.1788815,
w65013472,,farm,landuse=farmland,53.5188373,-6.1730388,
w65013480,,farm,landuse=farmland,53.5049396,-6.1916288,
w65013485,,farm,landuse=farmland,53.5117547,-6.1899027,
w65013488,,farm,landuse=farmland,53.5219587,-6.1873762,
w65013491,,farm,landuse=farmland,53.521592,-6.1830515,
w65013495,,farm,landuse=farmland,53.5211396,-6.1814596,
w65013496,,farm,building=greenhouse,53.5053449,-6.1963919,
w65013498,,farm,landuse=farmland,53.5208744,-6.1755978,
w65013519,,farm,landuse=farmland,53.5118171,-6.1805568,
w65013525,,farm,landuse=farmland,53.5139188,-6.1832756,
w65013534,,farm,landuse=farmland,53.5170428,-6.1794323,
w65013537,,farm,landuse=farmland,53.5214247,-6.1852989,
w65013541,,farm,building=greenhouse,53.5058367,-6.1959745,
w65013549,,farm,landuse=farmland,53.5134518,-6.1798708,
w65013557,,farm,landuse=farmland,53.5122018,-6.1778515,
w65013558,,farm,building=greenhouse,53.5098353,-6.1835949,
w65013559,,farm,landuse=farmland,53.5123014,-6.1754203,
w65013563,,farm,landuse=farmland,53.5071097,-6.1921615,
w65013569,,farm,landuse=farmland,53.5164537,-6.1760195,
w65013573,,farm,landuse=farmland,53.5156209,-6.185994,
w65013593,,farm,landuse=farmland,53.5058835,-6.1901368,
w65013599,,farm,landuse=farmland,53.5213991,-6.1896074,
w65013604,,farm,landuse=farmland,53.515277,-6.1775303,
w65013608,,farm,landuse=farmland,53.5157279,-6.1734437,
w65013611,,farm,landuse=farmland,53.5183746,-6.1715799,
w65013616,,farm,landuse=farmland,53.5137567,-6.1885755,
w65013624,,farm,landuse=farmland,53.5121447,-6.1828864,
w65013636,,farm,landuse=farmland,53.5249746,-6.1880847,
w65013641,,farm,building=greenhouse,53.5077068,-6.1683196,
w65013650,,farm,landuse=farmland,53.5100475,-6.1851167,
w65013664,,farm,landuse=farmland,53.5155525,-6.1810086,
w65013666,,farm,landuse=farmland,53.5194341,-6.1894849,
w65184798,,farm,landuse=farmland,53.248409,-6.218695,
w65184862,,farm,landuse=farmland,53.2637381,-6.2866397,
w65184902,,farm,landuse=farmland,53.2471892,-6.3510391,
w65195774,,farm,building=greenhouse,53.5130092,-6.1516782,
w65195776,,farm,building=greenhouse,53.5130518,-6.151025,
w65195778,,farm,building=greenhouse,53.5080945,-6.164006,
w65195782,,farm,landuse=farmland,53.5170967,-6.1544442,
w65195784,,farm,landuse=farmland,53.5174487,-6.1565135,
w65195785,,farm,landuse=farmland,53.5136794,-6.1492536,
w65195787,,farm,landuse=farmland,53.5149648,-6.1606084,
w65195789,,farm,landuse=farmland,53.5125446,-6.1645977,
w65195792,,farm,landuse=farmland,53.5074474,-6.184037,
w65195795,,farm,landuse=farmland,53.5122896,-6.1669502,
w65195800,,farm,building=greenhouse,53.5130077,-6.1524417,
w65195802,,farm,landuse=farmland,53.5096336,-6.1696727,
w65195805,,farm,building=greenhouse,53.5085079,-6.1652282,
w65195806,,farm,landuse=farmland,53.5152093,-6.1494394,
w65195808,,farm,building=greenhouse,53.5135137,-6.1514955,
w65195811,,farm,landuse=farmland,53.5148137,-6.1541755,
w65195816,,farm,landuse=farmland,53.5183214,-6.1651134,
w65195817,,farm,landuse=farmland,53.5218929,-6.1560864,
w65195818,,farm,landuse=farmland,53.5095819,-6.1647724,
w65195819,,farm,landuse=farmland,53.5166363,-6.152415,
w65195821,,farm,landuse=farmland,53.5084554,-6.1711628,
w65195825,,farm,landuse=farmland,53.5125094,-6.1604249,
w65195827,,farm,landuse=farmland,53.5062004,-6.1851152,
w65195828,,farm,building=greenhouse,53.5126457,-6.1515115,
w65195830,,farm,landuse=farmland,53.5115323,-6.1693121,
w65195831,,farm,landuse=farmland,53.5131625,-6.1542152,
w65195833,,farm,landuse=farmland,53.5164548,-6.1681639,
w65195837,,farm,landuse=farmland,53.5180756,-6.1597091,
w65195842,,farm,landuse=farmland,53.5064672,-6.1813113,
w65195847,,farm,landuse=farmland,53.5094354,-6.179231,
w65195849,,farm,landuse=farmland,53.5180187,-6.1477531,
w65195851,,farm,landuse=farmland,53.5116925,-6.1729908,
w65195853,,farm,building=greenhouse,53.5128116,-6.152019,
w65195854,,farm,landuse=farmland,53.5197582,-6.155899,
w65195855,,farm,landuse=farmland,53.5094786,-6.1676906,
w65195856,,farm,landuse=farmland,53.5090485,-6.1582618,
w65195859,,farm,landuse=farmland,53.5213415,-6.1468386,
w65195860,,farm,building=greenhouse,53.5077974,-6.1640861,
w65195863,,farm,landuse=farmland,53.5115993,-6.1551275,
w65195872,,farm,landuse=farmland,53.5205138,-6.1527555,
w65195877,,farm,landuse=farmland,53.516227,-6.1484444,
w65195880,,farm,landuse=farmland,53.5193675,-6.1527358,
w65195882,,farm,landuse=farmland,53.5082564,-6.1728391,
w65195884,,farm,landuse=greenhouse_horticulture,53.5130492,-6.1515886,
w65195890,,farm,landuse=farmland,53.5106311,-6.1584555,
w65195895,,farm,building=greenhouse,53.5132045,-6.1520893,
w65195896,,farm,building=greenhouse,53.5132758,-6.1512316,
w65195898,,farm,landuse=farmland,53.5135801,-6.1698467,
w65195902,,farm,building=greenhouse,53.5088064,-6.1651755,
w65195904,,farm,landuse=farmland,53.5186617,-6.1633753,
w65195905,,farm,landuse=farmland,53.5074308,-6.1798277,
w65195908,,farm,landuse=farmland,53.5157385,-6.1569985,
w65195910,,farm,building=greenhouse,53.5084739,-6.1640235,
w65195911,,farm,landuse=farmland,53.515506,-6.1667105,
w65195916,,farm,landuse=farmland,53.5142917,-6.1569396,
w65195923,,farm,landuse=farmland,53.5194582,-6.148782,
w65195926,,farm,landuse=farmland,53.5144013,-6.1643085,
w65195929,,farm,landuse=farmland,53.5084904,-6.1623828,
w65195933,,farm,landuse=farmland,53.5112735,-6.1531548,
w65195935,,farm,landuse=farmland,53.5142059,-6.1526082,
w65195937,,farm,landuse=farmland,53.5204441,-6.1479621,
w65195939,,farm,landuse=farmland,53.5098009,-6.1723912,
w65195940,,farm,landuse=farmland,53.5201119,-6.1508951,
w65195941,,farm,landuse=farmland,53.5057236,-6.1842407,
w65211027,,farm,landuse=farmland,53.2447114,-6.1930797,
w65465250,,farm,landuse=farmland,53.5287714,-6.1880574,
w65465254,,farm,landuse=farmland,53.5367061,-6.185745,
w65465260,,farm,landuse=farmland,53.5307671,-6.1753072,
w65465276,,farm,landuse=farmland,53.5364165,-6.1963278,
w65465304,,farm,landuse=farmland,53.5329958,-6.1831821,
w65465306,,farm,landuse=farmland,53.5268384,-6.1864259,
w65465325,,farm,landuse=farmland,53.5310211,-6.1821249,
w65465332,,farm,landuse=farmland,53.5350727,-6.1921618,
w65465340,,farm,landuse=farmland,53.5350011,-6.1872569,
w65465364,,farm,landuse=farmland,53.5292506,-6.1775199,
w65465368,,farm,landuse=farmland,53.5335819,-6.1877268,
w65465370,,farm,landuse=farmland,53.5351574,-6.1818874,
w65465373,,farm,landuse=farmland,53.5298037,-6.1808118,
w65465382,,farm,landuse=farmland,53.5319178,-6.1838827,
w65465398,,farm,landuse=farmland,53.533849,-6.1795191,
w65465406,,farm,landuse=farmland,53.5310008,-6.192038,
w65465425,,farm,landuse=farmland,53.5303629,-6.1877862,
w65465437,,farm,landuse=farmland,53.5316337,-6.1872814,
w65465448,,farm,landuse=farmland,53.5309363,-6.1836645,
w65465469,,farm,landuse=farmland,53.5297211,-6.1791586,
w65473809,B&V Nurseries,farm,landuse=greenhouse_horticulture,53.5563936,-6.1842043,
w65476910,,farm,landuse=greenhouse_horticulture,53.5451247,-6.1755765,
w65476913,,farm,building=greenhouse,53.5453883,-6.1756851,
w65476925,,farm,building=greenhouse,53.5446282,-6.1752937,
w65476927,,farm,building=greenhouse,53.5447929,-6.1758923,
w65476935,,farm,building=greenhouse,53.545139,-6.1746726,
w65476937,,farm,building=greenhouse,53.5452192,-6.1749955,
w65476943,,farm,building=greenhouse,53.5458024,-6.1754308,
w65476945,,farm,building=greenhouse,53.5457273,-6.1747029,
w65490465,,farm,landuse=farmland,53.527038,-6.1494901,
w65490472,,farm,building=greenhouse,53.5290949,-6.1505063,
w65490479,,farm,landuse=farmland,53.5241082,-6.1411561,
w65490483,Highlander Park,farm,landuse=farmland,53.5259342,-6.140681,
w65490486,,farm,building=greenhouse,53.5284709,-6.151521,
w65490487,,farm,landuse=farmland,53.5269281,-6.1443714,
w65490490,,farm,landuse=farmland,53.5231408,-6.1540948,
w65490495,,farm,building=greenhouse,53.5258348,-6.137061,
w65490500,,farm,landuse=farmland,53.525065,-6.1495441,
